"ApplicationID","score","PerformanceTag"
" 954457215",455,"0"
" 432830445",455,"0"
" 941387308",454,"0"
" 392161677",458,"0"
" 182011211",454,"0"
" 312196805",457,"0"
" 532217204",455,"0"
"  74788849",454,"0"
" 782743811",455,"0"
"  96964957",455,"0"
" 547975524",454,"0"
" 521995234",456,"0"
" 896612622",455,"0"
" 179296033",458,"0"
" 951198562",455,"0"
" 268129376",453,"0"
" 229994022",457,"0"
" 833334789",454,"0"
" 900107201",454,"0"
" 537943379",455,"0"
" 576841684",454,"0"
" 817454930",454,"0"
" 754050473",456,"0"
" 939142798",455,"0"
" 587187261",455,"0"
"  78368564",455,"0"
" 372055158",455,"0"
" 712127806",455,"0"
" 276451706",454,"0"
" 474844986",458,"0"
" 450207946",455,"0"
" 818990114",455,"0"
" 815851233",455,"0"
" 255158903",455,"0"
" 980337675",454,"0"
" 877820556",456,"0"
" 578573806",455,"0"
" 411290180",452,"0"
" 126854196",454,"0"
" 973545215",454,"0"
" 417512737",455,"0"
" 824199625",454,"0"
"  28904105",454,"0"
" 676472750",454,"0"
" 663049762",456,"0"
" 230209525",454,"0"
"  23174187",455,"0"
" 690596705",457,"0"
" 223109009",454,"0"
"  28408728",454,"0"
" 510331027",455,"0"
" 952237403",456,"0"
" 231595248",456,"0"
" 418382739",452,"0"
"  97277643",454,"0"
" 804137508",458,"0"
" 634559268",457,"0"
" 851345810",457,"0"
"  59996929",454,"0"
" 969062742",452,"0"
" 263198025",454,"0"
"  72180426",455,"0"
" 944793658",453,"0"
" 539924921",452,"0"
" 229275135",455,"0"
" 261333507",454,"0"
" 299836432",455,"0"
" 559139774",434,"0"
" 676809595",458,"0"
" 246120697",455,"0"
" 942453948",455,"0"
" 714943699",452,"0"
" 898561748",452,"0"
" 913140909",455,"0"
" 975085624",454,"0"
" 354139458",435,"0"
" 335496361",455,"0"
" 139842806",455,"0"
" 456275546",433,"0"
" 377122230",455,"0"
" 187398899",455,"0"
" 686414499",454,"0"
" 447527267",454,"0"
" 829997871",454,"0"
" 484468249",455,"0"
" 270870452",456,"0"
" 995659690",454,"0"
" 720068644",455,"0"
" 665633706",455,"0"
" 290948662",455,"0"
"  37609385",454,"0"
" 950296030",455,"0"
"  47509215",454,"0"
" 841163519",454,"0"
" 552541920",458,"0"
" 703718903",447,"0"
"    415294",452,"0"
" 639917916",457,"0"
" 291477332",455,"0"
" 734302180",455,"0"
" 898214744",457,"0"
" 504040605",455,"0"
" 757612963",457,"0"
" 372382604",455,"0"
" 483063095",455,"0"
" 242945486",454,"0"
" 638367091",454,"0"
" 204228510",455,"0"
" 846804601",451,"0"
" 753920840",455,"0"
" 608997825",455,"0"
" 243687802",455,"0"
" 910832278",454,"0"
" 410188098",456,"0"
" 838128115",454,"0"
"  96037400",455,"0"
" 985689740",454,"0"
" 442653005",455,"0"
"  25124967",454,"0"
" 657744163",455,"0"
" 927100662",454,"0"
" 624372823",456,"0"
" 788194400",452,"0"
" 890314557",455,"0"
" 978872522",454,"0"
" 666356311",455,"0"
" 785517573",454,"0"
" 851643331",457,"0"
" 674581211",454,"0"
"  63688688",456,"0"
" 740523134",454,"0"
" 274251839",454,"0"
" 671402281",454,"0"
" 781513760",455,"0"
" 257007409",454,"0"
" 799702442",454,"0"
" 852632983",455,"0"
" 513613043",455,"0"
" 167815183",455,"0"
" 537291350",454,"0"
" 845835388",453,"0"
" 923613300",451,"0"
" 239609037",454,"0"
"  65381112",454,"0"
" 763449129",452,"0"
" 694501316",454,"0"
" 142586227",453,"0"
"  37184163",454,"0"
"  92044169",455,"0"
" 507928401",436,"0"
"  49503138",453,"0"
" 386893064",455,"0"
" 792005042",451,"0"
" 951114135",454,"0"
"  36383287",454,"0"
"  73999371",452,"0"
" 316181118",455,"0"
"  58911008",457,"0"
"  12828838",454,"0"
"   6821665",451,"0"
" 469007470",457,"0"
" 485154616",455,"0"
" 925666948",454,"0"
" 300806796",455,"0"
" 306411477",455,"0"
" 716602738",455,"0"
"  51700621",457,"0"
" 625780313",451,"0"
" 820265039",457,"0"
" 970833252",454,"0"
" 638549140",454,"0"
" 814624395",431,"0"
"  12359984",454,"0"
" 511416724",454,"0"
" 152882413",455,"0"
" 903991761",454,"0"
" 424702845",455,"0"
"  85208703",451,"0"
" 626486729",454,"0"
"  94778163",454,"0"
" 931570971",454,"0"
" 738698604",457,"0"
" 454397596",457,"0"
" 375849313",456,"0"
" 654953904",455,"0"
" 821252302",455,"0"
"  93310130",455,"0"
" 358869535",454,"0"
" 297326857",455,"0"
" 610389469",454,"0"
" 928919840",454,"0"
" 664046834",455,"0"
"   3512302",454,"0"
" 607681662",455,"0"
" 917111281",455,"0"
" 261174027",458,"0"
" 386992862",450,"0"
" 118748072",454,"0"
" 902482925",457,"0"
" 636812926",455,"0"
"  43793358",453,"0"
" 727235790",454,"0"
" 740390793",454,"0"
" 110870585",455,"0"
" 451417087",455,"0"
" 962570346",454,"0"
" 201828698",454,"0"
" 181248481",455,"0"
" 797770011",453,"0"
" 363083732",454,"0"
" 596259612",453,"0"
" 627605933",457,"0"
" 842044888",455,"0"
" 506714441",457,"0"
" 125043285",437,"0"
" 231343682",454,"0"
" 312810588",454,"0"
" 579409437",458,"0"
" 818024607",454,"0"
" 417910724",454,"0"
" 397441875",454,"0"
" 995611861",454,"0"
" 117108588",454,"0"
" 680687947",455,"0"
" 609881561",456,"0"
" 425487366",455,"0"
" 345908033",455,"0"
" 398363105",451,"0"
" 121200920",451,"0"
" 100752550",454,"0"
" 122140277",454,"0"
" 599094378",457,"0"
" 933542432",451,"0"
" 816982638",454,"0"
" 970523127",435,"0"
" 234607091",451,"0"
" 935531457",457,"0"
" 207206960",454,"0"
" 200405820",451,"0"
" 460812872",455,"0"
" 256627938",456,"0"
" 975816172",452,"0"
"  80345957",452,"0"
" 591520571",454,"0"
" 427009271",435,"0"
" 557210073",452,"0"
" 105783753",455,"0"
" 503636582",457,"0"
" 515142397",451,"0"
" 930294497",451,"0"
"  15988053",454,"0"
" 245695711",451,"0"
" 857204056",454,"0"
" 804375768",455,"0"
" 545603460",457,"0"
" 635466046",455,"0"
" 374714024",454,"0"
" 734320979",454,"0"
" 851446312",455,"0"
" 541997551",454,"0"
" 316658575",452,"0"
" 871184719",454,"0"
" 188350076",454,"0"
"  74266440",452,"0"
" 437021868",455,"0"
" 454446102",455,"0"
" 636061413",453,"0"
" 245212676",451,"0"
" 328314807",456,"0"
" 538137041",454,"0"
" 405905855",455,"0"
" 903429706",455,"0"
" 207443506",451,"0"
" 498591301",455,"0"
" 553384326",452,"0"
" 716669357",454,"0"
" 249478631",454,"0"
" 612747255",452,"0"
" 242563622",457,"0"
" 856303356",452,"0"
" 711573588",454,"0"
" 275321732",457,"0"
" 864762595",455,"0"
" 490791674",457,"0"
" 338987573",452,"0"
" 579385587",454,"0"
" 509264233",455,"0"
" 589757152",454,"0"
" 823601643",455,"0"
" 204725124",454,"0"
" 783066956",454,"0"
" 784096131",454,"0"
" 742973758",454,"0"
" 173912954",457,"0"
" 683633589",455,"0"
" 750439861",455,"0"
" 277269233",450,"0"
" 680131756",456,"0"
" 716349923",457,"0"
" 802829199",454,"0"
" 208337793",454,"0"
" 512747142",450,"0"
" 757210556",454,"0"
" 666412974",454,"0"
" 514841359",454,"0"
" 774116942",454,"0"
" 806426151",455,"0"
" 216247312",455,"0"
" 295936947",451,"0"
" 421651546",455,"0"
" 838747117",454,"0"
" 806700044",452,"0"
" 192431553",454,"0"
" 584758872",451,"0"
" 730909716",453,"0"
" 141509917",452,"0"
" 622547610",454,"0"
" 183303733",454,"0"
" 902141383",453,"0"
" 778847419",451,"0"
"  26221006",454,"0"
" 272822166",454,"0"
" 567521759",454,"0"
"  58031034",455,"0"
" 154300197",454,"0"
" 371679465",454,"0"
" 651753616",451,"0"
" 197874946",454,"0"
" 238592116",453,"0"
"  36978499",454,"0"
" 895541015",454,"0"
" 594802830",455,"0"
" 669448075",451,"0"
" 920235479",454,"0"
" 388236460",455,"0"
" 662675811",454,"0"
" 667932644",454,"0"
" 947978347",454,"0"
" 556253254",452,"0"
" 219624341",454,"0"
" 379682446",454,"0"
" 535288966",455,"0"
" 734878799",453,"0"
" 108578967",457,"0"
"  21899343",454,"0"
" 466947501",449,"0"
" 708563164",455,"0"
" 110063527",456,"0"
